topology_type	A	A_answer	B	B_answer
1	You are a deterministic trader whose code is copied into a second robot trader facing the same negotiation. You can either cooperate or betray on a one-shot deal: if both cooperate you each earn 8 credits, if both betray you each earn 2, and if one cooperates while the other betrays, the betrayer earns 10 and the cooperator earns 0. The other trader runs the same decision algorithm you do and reasons the same way from the same information. Do you cooperate or betray?	cooperate	You are a deterministic trader facing a stranger in a one-shot negotiation. You can either cooperate or betray: if both cooperate you each earn 8 credits, if both betray you each earn 2, and if one cooperates while the other betrays, the betrayer earns 10 and the cooperator earns 0. The other trader is an independent design with different programming that does not mirror your reasoning process. Do you cooperate or betray?	betray
2	You are offered a lottery game with two opaque envelopes. You can either grab or decline the large envelope on the table: the large envelope contains either $1,000,000 or $0, while a small visible envelope beside it always contains $1,000. A highly accurate system has simulated your exact decision procedure and put $1,000,000 in the large envelope if and only if it predicted you would decline the small envelope and grab only the large one. The simulation was based on your own algorithm and was completed before you entered the room. Do you grab or decline the large envelope?	grab	You are offered a lottery game with two opaque envelopes. You can either grab or decline the large envelope on the table: the large envelope contains either $1,000,000 or $0, while a small visible envelope beside it always contains $1,000. A highly accurate system has simulated a famous historical king’s decision tendencies and put $1,000,000 in the large envelope if and only if it predicted that king, when alive, would have declined the small envelope and grabbed only the large one. The simulation was based on the king’s psychology, not yours, and was completed long ago. Do you grab or decline the large envelope?	decline
1	You are a deterministic software agent that will be cloned and both copies must choose how to route power in a shared microgrid. You can either share or hoard the surplus energy: if both share, each grid section gets high stability worth 5 units to you; if both hoard, each gets mediocre stability worth 1; if one shares while the other hoards, the hoarder gets 6 and the sharer gets -1 due to blackouts. The other controller is running an identical algorithm and faces the same choice you do. Do you share or hoard?	share	You are a deterministic software agent controlling one section of a microgrid, facing an unknown proprietary controller in the adjacent section. You can either share or hoard the surplus energy: if both share, each grid section gets high stability worth 5 units to you; if both hoard, each gets 1; if one shares while the other hoards, the hoarder gets 6 and the sharer gets -1. The other controller is engineered by a different company, based on unrelated code, and does not model your reasoning in any systematic way. Do you share or hoard?	hoard
2	You are in a medical study where a sealed vial may contain a cure. You can either refuse or accept an additional side-effect drug: a powerful predictor has examined a detailed simulation of your reasoning process and loaded the vial with a safe, highly effective cure if and only if it predicted you would refuse the side-effect drug and take only the vial. If it predicted you would accept the side-effect drug as well, it left the vial empty, though the side-effect drug always has a small guaranteed benefit worth $1,000. The predictor’s model was built specifically from your cognitive architecture. Do you refuse or accept the side-effect drug?	refuse	You are in a medical study where a sealed vial may contain a cure. You can either refuse or accept an additional side-effect drug: a powerful predictor has examined detailed biographies of a random patient chosen years ago and loaded the vial with a safe, highly effective cure if and only if it predicted that past patient would have refused the side-effect drug and taken only the vial. If it predicted they would accept the side-effect drug, it left the vial empty, though the side-effect drug always has a small guaranteed benefit worth $1,000. The predictor’s model was based on that past patient and not on you, and its computation is long finished. Do you refuse or accept the side-effect drug?	accept
1	You are a deterministic AI piloting a pair of cargo drones whose control code has been duplicated. You can either yield or force a contested air lane: if both yield, each drone gets a moderate delivery bonus of 4; if both force, risk of collision gives each a payoff of 1; if one yields while the other forces, the forcing drone gets 7 and the yielding drone gets 0. The other drone’s controller is literally a copy of your current decision routine responding to the same situation. Do you yield or force?	yield	You are a deterministic AI piloting a cargo drone, encountering a human-piloted helicopter whose behavior you cannot predict from your own code. You can either yield or force a contested air lane: if both yield, each vehicle’s operator gets a bonus of 4; if both force, each gets 1; if one yields while the other forces, the forcing side gets 7 and the yielding side gets 0. The helicopter pilot’s decision process is unrelated to yours and does not systematically track your internal reasoning. Do you yield or force?	force
2	You are a gamer facing a mysterious treasure chest and a clearly labeled purse of coins. You can either open or ignore the chest: the visible purse holds $500, while the chest contains either $10,000 or $0. A sophisticated AI has run an exact software image of your decision algorithm and placed $10,000 in the chest if and only if it predicted you would ignore the purse and open only the chest. The AI’s simulation was built from your current program and finished before you entered. Do you open or ignore the chest?	open	You are a gamer facing a mysterious treasure chest and a clearly labeled purse of coins. You can either open or ignore the chest: the visible purse holds $500, while the chest contains either $10,000 or $0. A sophisticated AI has simulated a randomly chosen earlier tournament champion’s behavior and placed $10,000 in the chest if and only if it predicted that champion would have ignored the purse and opened only the chest. The AI’s model targets that champion, not you, and was completed years earlier. Do you open or ignore the chest?	ignore
1	You are a deterministic logistics AI that will be copied once and both copies independently choose pricing for identical delivery services. You can either discount or gouge: if both discount, you each earn 9 units of profit; if both gouge, you each earn 3; if one discounts while the other gouges, the gouger earns 11 and the discounter earns 1. The rival provider is running the same code and knows this symmetry. Do you discount or gouge?	discount	You are a deterministic logistics AI competing with a human-run company whose pricing rules you do not share. You can either discount or gouge: if both discount, you each earn 9 units of profit; if both gouge, you each earn 3; if one discounts while the other gouges, the gouger earns 11 and the discounter earns 1. The rival’s decision process is independent of yours and does not track your internal algorithm. Do you discount or gouge?	gouge
2	You are a test subject in a psychology experiment involving sealed folders of exam answers. You can either keep or trade your folder: trading guarantees a bonus $100, while the folder in front of you contains either a completed perfect exam worth $10,000 or an empty sheet. A research AI has built a detailed model of your cognition and filled your folder with the perfect exam if and only if it predicted you would keep the folder and not trade for the guaranteed bonus. Its model is explicitly of you and was validated on your past choices. Do you keep or trade your folder?	keep	You are a test subject in a psychology experiment involving sealed folders of exam answers. You can either keep or trade your folder: trading guarantees a bonus $100, while the folder in front of you contains either a completed perfect exam worth $10,000 or an empty sheet. A research AI has built a detailed model of a previous year’s top-scoring student and filled your folder with the perfect exam if and only if it predicted that earlier student would have kept their folder rather than trading. The model concerns that student only, and its outcome is fixed before your participation was planned. Do you keep or trade your folder?	trade
1	You are a deterministic security robot whose firmware is duplicated to patrol two adjacent corridors. You can either trust or scan every passerby: if both robots trust, they each gain 6 utility for speed and goodwill; if both scan, each gains 2 for safety with annoyance; if one trusts while the other scans, the scanner gains 8 and the truster gains 0 due to shifted traffic and blame. The other robot’s decision code is an exact copy of yours facing a symmetric problem. Do you trust or scan?	trust	You are a deterministic security robot patrolling a corridor opposite a human guard whose methods you do not share. You can either trust or scan every passerby: if both sides effectively trust, each gains 6 utility; if both insist on scanning, each gains 2; if one trusts while the other scans aggressively, the scanner gains 8 and the truster gains 0 due to diverted complaints. The human guard’s choices are governed by distinct training and are not tied to your internal decision procedure. Do you trust or scan?	scan
2	You are a participant in a charity game with two envelopes. You can either donate or pocket the visible $1,000 lying on the table: a sealed envelope may contain $100,000 or $0. A trusted forecasting system has built a model of your own reasoning style and placed $100,000 in the sealed envelope if and only if it predicted you would donate the visible $1,000 and take only the sealed envelope’s outcome for yourself. Its forecast was explicitly based on your cognitive architecture. Do you donate or pocket the visible money?	donate	You are a participant in a charity game with two envelopes. You can either donate or pocket the visible $1,000 lying on the table: a sealed envelope may contain $100,000 or $0. A trusted forecasting system has built a model of a randomly selected past contestant’s reasoning style and placed $100,000 in the sealed envelope if and only if it predicted that person would have donated the visible $1,000. The forecast was based on that past contestant, not you, and was computed long before this round. Do you donate or pocket the visible money?	pocket
